ID,Type,SKU,Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,"Swatches Attributes","Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 1 default","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global","Attribute 2 default","Download 1 ID","Download 1 name","Download 1 URL"
89,variation,,"Powerfly FS 9 Equipped - Green, 52",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,999.99,,,,,,,id:79,,,,,,9,,Color,Green,,1,,Size,52,,1,,,,
90,variation,,"Powerfly FS 9 Equipped - Orange, 52",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,999.99,,,,,,,id:79,,,,,,10,,Color,Orange,,1,,Size,52,,1,,,,
91,variation,,"Powerfly FS 9 Equipped - Red, 52",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,999.99,,,,,,,id:79,,,,,,11,,Color,Red,,1,,Size,52,,1,,,,
92,variation,,"Powerfly FS 9 Equipped - Yellow, 52",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,999.99,,,,,,,id:79,,,,,,12,,Color,Yellow,,1,,Size,52,,1,,,,
93,variation,,"Powerfly FS 9 Equipped - Black, 54",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,999.99,,,,,,,id:79,,,,,,13,,Color,Black,,1,,Size,54,,1,,,,
94,variation,,"Powerfly FS 9 Equipped - Blue, 54",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,999.99,,,,,,,id:79,,,,,,14,,Color,Blue,,1,,Size,54,,1,,,,
95,variation,,"Powerfly FS 9 Equipped - Green, 54",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,999.99,,,,,,,id:79,,,,,,15,,Color,Green,,1,,Size,54,,1,,,,
96,variation,,"Powerfly FS 9 Equipped - Orange, 54",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,,,,,,id:79,,,,,,16,,Color,Orange,,1,,Size,54,,1,,,,
97,variation,,"Powerfly FS 9 Equipped - Red, 54",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,,,,,,id:79,,,,,,17,,Color,Red,,1,,Size,54,,1,,,,
98,variation,,"Powerfly FS 9 Equipped - Yellow, 54",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,,,,,,id:79,,,,,,18,,Color,Yellow,,1,,Size,54,,1,,,,
99,variation,,"Powerfly FS 9 Equipped - Black, 56",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,,,,,,id:79,,,,,,19,,Color,Black,,1,,Size,56,,1,,,,
100,variation,,"Powerfly FS 9 Equipped - Blue, 56",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,,,,,,id:79,,,,,,20,,Color,Blue,,1,,Size,56,,1,,,,
101,variation,,"Powerfly FS 9 Equipped - Green, 56",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,,,,,,id:79,,,,,,21,,Color,Green,,1,,Size,56,,1,,,,
102,variation,,"Powerfly FS 9 Equipped - Orange, 56",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,,,,,,id:79,,,,,,22,,Color,Orange,,1,,Size,56,,1,,,,
103,variation,,"Powerfly FS 9 Equipped - Red, 56",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,,,,,,id:79,,,,,,23,,Color,Red,,1,,Size,56,,1,,,,
104,variation,,"Powerfly FS 9 Equipped - Yellow, 56",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,,,,,,id:79,,,,,,24,,Color,Yellow,,1,,Size,56,,1,,,,
105,variation,,"Powerfly FS 9 Equipped - Black, 58",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,,,,,,id:79,,,,,,25,,Color,Black,,1,,Size,58,,1,,,,
106,variation,,"Powerfly FS 9 Equipped - Blue, 58",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,,,,,,id:79,,,,,,26,,Color,Blue,,1,,Size,58,,1,,,,
107,variation,,"Powerfly FS 9 Equipped - Green, 58",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,,,,,,id:79,,,,,,27,,Color,Green,,1,,Size,58,,1,,,,
108,variation,,"Powerfly FS 9 Equipped - Orange, 58",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,,,,,,id:79,,,,,,28,,Color,Orange,,1,,Size,58,,1,,,,
109,variation,,"Powerfly FS 9 Equipped - Red, 58",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,,,,,,id:79,,,,,,29,,Color,Red,,1,,Size,58,,1,,,,
110,variation,,"Powerfly FS 9 Equipped - Yellow, 58",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,,,,,,id:79,,,,,,30,,Color,Yellow,,1,,Size,58,,1,,,,
111,variation,,"Powerfly FS 9 Equipped - Black, 60",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,,,,,,id:79,,,,,,31,,Color,Black,,1,,Size,60,,1,,,,
112,variation,,"Powerfly FS 9 Equipped - Blue, 60",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,,,,,,id:79,,,,,,32,,Color,Blue,,1,,Size,60,,1,,,,
113,variation,,"Powerfly FS 9 Equipped - Green, 60",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,,,,,,id:79,,,,,,33,,Color,Green,,1,,Size,60,,1,,,,
114,variation,,"Powerfly FS 9 Equipped - Orange, 60",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,,,,,,id:79,,,,,,34,,Color,Orange,,1,,Size,60,,1,,,,
115,variation,,"Powerfly FS 9 Equipped - Red, 60",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,,,,,,id:79,,,,,,35,,Color,Red,,1,,Size,60,,1,,,,
116,variation,,"Powerfly FS 9 Equipped - Yellow, 60",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,,,,,,id:79,,,,,,36,,Color,Yellow,,1,,Size,60,,1,,,,
117,variation,,"Powerfly FS 9 Equipped - Black, 62",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,,,,,,id:79,,,,,,37,,Color,Black,,1,,Size,62,,1,,,,
118,variation,,"Powerfly FS 9 Equipped - Blue, 62",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,,,,,,id:79,,,,,,38,,Color,Blue,,1,,Size,62,,1,,,,
119,variation,,"Powerfly FS 9 Equipped - Green, 62",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,,,,,,id:79,,,,,,39,,Color,Green,,1,,Size,62,,1,,,,
120,variation,,"Powerfly FS 9 Equipped - Orange, 62",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,,,,,,id:79,,,,,,40,,Color,Orange,,1,,Size,62,,1,,,,
121,variation,,"Powerfly FS 9 Equipped - Red, 62",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,,,,,,id:79,,,,,,41,,Color,Red,,1,,Size,62,,1,,,,
122,variation,,"Powerfly FS 9 Equipped - Yellow, 62",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,,,,,,id:79,,,,,,42,,Color,Yellow,,1,,Size,62,,1,,,,
136,"simple, downloadable",,"Top Fuel 9.9 X01",1,0,visible,"<strong>Downloadable</strong> – activates additional fields where you can provide a downloadable file. After a successful purchase, customers are given a downloadable file as a link in the order notification email. This is suitable, for example, for a digital album, PDF magazine, or photo.","[elementor-template id=""55""]",,,taxable,,1,,,0,0,,,,,1,,599.99,699.99,"City, Customize, Electric bikes","bike, electric, EQUIPMENT, mountain, novaworks, product, woocommerce",,"https://sportie.novaworks.net/wp-content/uploads/2021/09/4.jpg, https://sportie.novaworks.net/wp-content/uploads/2021/09/4-1.jpg, https://sportie.novaworks.net/wp-content/uploads/2021/09/0022.jpg, https://sportie.novaworks.net/wp-content/uploads/2021/09/001.jpg, https://sportie.novaworks.net/wp-content/uploads/2021/09/011.jpg, https://sportie.novaworks.net/wp-content/uploads/2021/09/009.jpg, https://sportie.novaworks.net/wp-content/uploads/2021/09/008.jpg, https://sportie.novaworks.net/wp-content/uploads/2021/09/007.jpg, https://sportie.novaworks.net/wp-content/uploads/2021/09/006.jpg, https://sportie.novaworks.net/wp-content/uploads/2021/09/005.jpg, https://sportie.novaworks.net/wp-content/uploads/2021/09/004.jpg, https://sportie.novaworks.net/wp-content/uploads/2021/09/003.jpg",'-1,'-1,,,,,,,0,,,,,,,,,,,,e898b33a-b818-4423-acd7-407c5424d799,10.jpg,https://sportie.novaworks.net/wp-content/uploads/2021/09/10.jpg
139,grouped,,"Supercaliber 9.9 XX1",1,0,visible,"<strong>Grouped</strong> – a collection of related products that can be purchased individually and only consist of simple products. For example, a set of six drinking glasses.","[elementor-template id=""55""]",,,taxable,,1,,,0,0,,,,,1,,,,"City, Customize, Electric bikes","bike, electric, EQUIPMENT, mountain, novaworks, product, woocommerce",,"https://sportie.novaworks.net/wp-content/uploads/2021/09/1.jpg, https://sportie.novaworks.net/wp-content/uploads/2021/09/1-1.jpg, https://sportie.novaworks.net/wp-content/uploads/2021/09/0022.jpg, https://sportie.novaworks.net/wp-content/uploads/2021/09/011.jpg, https://sportie.novaworks.net/wp-content/uploads/2021/09/009.jpg, https://sportie.novaworks.net/wp-content/uploads/2021/09/008.jpg, https://sportie.novaworks.net/wp-content/uploads/2021/09/007.jpg, https://sportie.novaworks.net/wp-content/uploads/2021/09/006.jpg, https://sportie.novaworks.net/wp-content/uploads/2021/09/005.jpg, https://sportie.novaworks.net/wp-content/uploads/2021/09/004.jpg, https://sportie.novaworks.net/wp-content/uploads/2021/09/003.jpg, https://sportie.novaworks.net/wp-content/uploads/2021/09/001.jpg",,,,"id:54, id:79, id:136",,,,,0,,,,,,,,,,,,,,
142,variable,,"Supercaliber 9.9 XTR",1,0,visible,"This product type lets you add variations to the same product to create a complex, variable product. Each variation of the product has its own price, SKU, available stock, etc. eg: A shirt or t-shirt with different sizes and different colors.\n\nWhile creating the product, you can select the ‘Variable product’ option from the drop-down. To be able to create different variations, you will have to set up attributes and define values to each of them. You can use different attributes and values to create variations. After that, you can manually create available variations or create all possible variations in one go. You can update individual details for each variation, after all required variations are created.","[elementor-template id=""55""]",,,taxable,,1,,,0,0,,,,,1,,,,"Kids' bikes, Mountain, Road","bike, electric, EQUIPMENT, mountain, novaworks, product, woocommerce",,"https://sportie.novaworks.net/wp-content/uploads/2021/09/5.jpg, https://sportie.novaworks.net/wp-content/uploads/2021/09/5-1.jpg, https://sportie.novaworks.net/wp-content/uploads/2021/09/001.jpg, https://sportie.novaworks.net/wp-content/uploads/2021/09/003.jpg, https://sportie.novaworks.net/wp-content/uploads/2021/09/004.jpg, https://sportie.novaworks.net/wp-content/uploads/2021/09/005.jpg, https://sportie.novaworks.net/wp-content/uploads/2021/09/006.jpg, https://sportie.novaworks.net/wp-content/uploads/2021/09/007.jpg, https://sportie.novaworks.net/wp-content/uploads/2021/09/008.jpg, https://sportie.novaworks.net/wp-content/uploads/2021/09/009.jpg, https://sportie.novaworks.net/wp-content/uploads/2021/09/011.jpg, https://sportie.novaworks.net/wp-content/uploads/2021/09/0022.jpg",,,,,,,,,0,"{""Color"":{""name"":""Color"",""type"":""color"",""terms"":{""Black"":{""name"":""Black"",""color"":""#000000"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Blue"":{""name"":""Blue"",""color"":""#1e73be"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Green"":{""name"":""Green"",""color"":""#81d742"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Orange"":{""name"":""Orange"",""color"":""#dd9933"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Red"":{""name"":""Red"",""color"":""#dd3333"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Yellow"":{""name"":""Yellow"",""color"":""#eeee22"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",Color,"Black, Blue, Green, Orange, Red, Yellow",1,1,Black,Size,"50, 52, 54, 56, 58, 60, 62",1,1,50,,,
143,variation,,"Supercaliber 9.9 XTR - Black, 50",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,999.99,,,,,,,id:142,,,,,,1,,Color,Black,,1,,Size,50,,1,,,,
144,variation,,"Supercaliber 9.9 XTR - Blue, 50",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,999.99,,,,,,,id:142,,,,,,2,,Color,Blue,,1,,Size,50,,1,,,,
145,variation,,"Supercaliber 9.9 XTR - Green, 50",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,999.99,,,,,,,id:142,,,,,,3,,Color,Green,,1,,Size,50,,1,,,,
146,variation,,"Supercaliber 9.9 XTR - Orange, 50",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,999.99,,,,,,,id:142,,,,,,4,,Color,Orange,,1,,Size,50,,1,,,,
147,variation,,"Supercaliber 9.9 XTR - Red, 50",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,999.99,,,,,,,id:142,,,,,,5,,Color,Red,,1,,Size,50,,1,,,,
148,variation,,"Supercaliber 9.9 XTR - Yellow, 50",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,999.99,,,,,,,id:142,,,,,,6,,Color,Yellow,,1,,Size,50,,1,,,,
149,variation,,"Supercaliber 9.9 XTR - Black, 52",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,999.99,,,,,,,id:142,,,,,,7,,Color,Black,,1,,Size,52,,1,,,,
150,variation,,"Supercaliber 9.9 XTR - Blue, 52",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,999.99,,,,,,,id:142,,,,,,8,,Color,Blue,,1,,Size,52,,1,,,,
151,variation,,"Supercaliber 9.9 XTR - Green, 52",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,999.99,,,,,,,id:142,,,,,,9,,Color,Green,,1,,Size,52,,1,,,,
152,variation,,"Supercaliber 9.9 XTR - Orange, 52",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,999.99,,,,,,,id:142,,,,,,10,,Color,Orange,,1,,Size,52,,1,,,,
153,variation,,"Supercaliber 9.9 XTR - Red, 52",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,999.99,,,,,,,id:142,,,,,,11,,Color,Red,,1,,Size,52,,1,,,,
154,variation,,"Supercaliber 9.9 XTR - Yellow, 52",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,999.99,,,,,,,id:142,,,,,,12,,Color,Yellow,,1,,Size,52,,1,,,,
155,variation,,"Supercaliber 9.9 XTR - Black, 54",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,999.99,,,,,,,id:142,,,,,,13,,Color,Black,,1,,Size,54,,1,,,,
156,variation,,"Supercaliber 9.9 XTR - Blue, 54",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,999.99,,,,,,,id:142,,,,,,14,,Color,Blue,,1,,Size,54,,1,,,,
157,variation,,"Supercaliber 9.9 XTR - Green, 54",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,999.99,,,,,,,id:142,,,,,,15,,Color,Green,,1,,Size,54,,1,,,,
158,variation,,"Supercaliber 9.9 XTR - Orange, 54",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,,,,,,id:142,,,,,,16,,Color,Orange,,1,,Size,54,,1,,,,
159,variation,,"Supercaliber 9.9 XTR - Red, 54",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,,,,,,id:142,,,,,,17,,Color,Red,,1,,Size,54,,1,,,,
160,variation,,"Supercaliber 9.9 XTR - Yellow, 54",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,,,,,,id:142,,,,,,18,,Color,Yellow,,1,,Size,54,,1,,,,
161,variation,,"Supercaliber 9.9 XTR - Black, 56",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,,,,,,id:142,,,,,,19,,Color,Black,,1,,Size,56,,1,,,,
162,variation,,"Supercaliber 9.9 XTR - Blue, 56",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,,,,,,id:142,,,,,,20,,Color,Blue,,1,,Size,56,,1,,,,
163,variation,,"Supercaliber 9.9 XTR - Green, 56",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,,,,,,id:142,,,,,,21,,Color,Green,,1,,Size,56,,1,,,,
164,variation,,"Supercaliber 9.9 XTR - Orange, 56",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,,,,,,id:142,,,,,,22,,Color,Orange,,1,,Size,56,,1,,,,
165,variation,,"Supercaliber 9.9 XTR - Red, 56",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,,,,,,id:142,,,,,,23,,Color,Red,,1,,Size,56,,1,,,,
166,variation,,"Supercaliber 9.9 XTR - Yellow, 56",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,,,,,,id:142,,,,,,24,,Color,Yellow,,1,,Size,56,,1,,,,
167,variation,,"Supercaliber 9.9 XTR - Black, 58",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,,,,,,id:142,,,,,,25,,Color,Black,,1,,Size,58,,1,,,,
168,variation,,"Supercaliber 9.9 XTR - Blue, 58",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,,,,,,id:142,,,,,,26,,Color,Blue,,1,,Size,58,,1,,,,
169,variation,,"Supercaliber 9.9 XTR - Green, 58",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,,,,,,id:142,,,,,,27,,Color,Green,,1,,Size,58,,1,,,,
170,variation,,"Supercaliber 9.9 XTR - Orange, 58",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,,,,,,id:142,,,,,,28,,Color,Orange,,1,,Size,58,,1,,,,
171,variation,,"Supercaliber 9.9 XTR - Red, 58",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,,,,,,id:142,,,,,,29,,Color,Red,,1,,Size,58,,1,,,,
172,variation,,"Supercaliber 9.9 XTR - Yellow, 58",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,,,,,,id:142,,,,,,30,,Color,Yellow,,1,,Size,58,,1,,,,
173,variation,,"Supercaliber 9.9 XTR - Black, 60",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,,,,,,id:142,,,,,,31,,Color,Black,,1,,Size,60,,1,,,,
174,variation,,"Supercaliber 9.9 XTR - Blue, 60",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,,,,,,id:142,,,,,,32,,Color,Blue,,1,,Size,60,,1,,,,
175,variation,,"Supercaliber 9.9 XTR - Green, 60",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,,,,,,id:142,,,,,,33,,Color,Green,,1,,Size,60,,1,,,,
176,variation,,"Supercaliber 9.9 XTR - Orange, 60",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,,,,,,id:142,,,,,,34,,Color,Orange,,1,,Size,60,,1,,,,
177,variation,,"Supercaliber 9.9 XTR - Red, 60",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,,,,,,id:142,,,,,,35,,Color,Red,,1,,Size,60,,1,,,,
178,variation,,"Supercaliber 9.9 XTR - Yellow, 60",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,,,,,,id:142,,,,,,36,,Color,Yellow,,1,,Size,60,,1,,,,
179,variation,,"Supercaliber 9.9 XTR - Black, 62",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,,,,,,id:142,,,,,,37,,Color,Black,,1,,Size,62,,1,,,,
180,variation,,"Supercaliber 9.9 XTR - Blue, 62",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,,,,,,id:142,,,,,,38,,Color,Blue,,1,,Size,62,,1,,,,
181,variation,,"Supercaliber 9.9 XTR - Green, 62",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,,,,,,id:142,,,,,,39,,Color,Green,,1,,Size,62,,1,,,,
